Activity ID,Date,Activity Name,Type,Distance (km),Duration (min),Pace (min/km),Avg HR,Max HR,Calories,Avg Cadence,Elevation Gain (m),Z1 (min),Z2 (min),Z3 (min),Z4 (min),Z5 (min),VO2 Max,Avg Stress,Max Stress,Start Stress,End Stress,Stress Diff
21965542196,2026-02-23,Honolulu - W01D1-Easy Run,running,3.46,41.47,11.99,96,119,249,98,49.4,9.2,0,0,0,0,,,,,,
21954265312,2026-02-22,Honolulu Walking,walking,1.99,21.54,10.84,128,147,163,87.796875,33,7.32,13.87,0.35,0,0,43,,,,,
21943859743,2026-02-21,Coherence,breathwork,0,15.57,0,94,107,0,0,0,0.91,0,0,0,0,,70,83,83,60,-23
21943770023,2026-02-21,Honolulu - Base,running,5.11,44.79,8.77,150,164,402,139.703125,56.8,1.35,6.13,37.28,0.02,0,43,,,,,
21921828818,2026-02-19,Honolulu - Base,running,4.05,33.09,8.18,146,160,328,136.171875,50.7,1.52,6.83,24.23,0,0,43,,,,,
21892130373,2026-02-16,Rucking the dog ,walking,1.98,26.06,13.17,114,151,167,77.296875,31.7,12.23,5.88,1.27,0,0,43,,,,,
21889719484,2026-02-16,Honolulu - Hill sprints 10*15s,running,3.17,28.72,9.06,144,177,278,113.828125,64.7,2.18,14.31,7.95,3.68,0,,,,,,
21880043348,2026-02-15,Honolulu - Tempo,running,8.13,60.74,7.47,158,176,662,144.640625,88.4,0.97,7.39,20.37,31.68,0,43,,,,,
21860487689,2026-02-13,Honolulu - Long Run,running,7.92,70.6,8.92,151,168,636,129.9375,95.9,0.65,11.51,56.87,1.58,0,43,,,,,
21829475018,2026-02-10,Indoor Cycling,indoor_cycling,9.66,28.54,2.96,134,168,251,0,0,2.27,24.41,1.42,0.43,0,,,,,,
21808906486,2026-02-08,Honolulu - Base,running,6.23,53,8.5,148,163,504,141.28125,75.8,1.51,10.69,40.42,0,0,43,,,,,
21755172774,2026-02-03,Honolulu Multisport,multi_sport,4.45,80.45,18.07,0,140,544,0,75,0,0,0,0,0,,,,,,
21734813204,2026-02-01,Honolulu - Base,running,4.52,35.19,7.79,144,159,367,144.015625,50.8,1.48,12.8,20.47,0,0,43,,,,,
21724351150,2026-01-31,Honolulu Walking,walking,1.58,20.39,12.94,111,130,126,76.734375,23.1,15.27,1,0,0,0,43,,,,,
21694554359,2026-01-28,Honolulu - Hill sprints 10*15s,running,3.68,31.2,8.48,144,177,320,135.390625,65.7,3.67,11.78,10.39,4.99,0,43,,,,,
21683561200,2026-01-27,Honolulu - Base,running,6.4,49.14,7.67,149,164,528,146.609375,55.1,1.54,7.78,39.38,0.12,0,43,,,,,
21663871750,2026-01-25,Honolulu - Base,running,3.66,28.95,7.9,142,157,292,145.34375,39.2,1.37,14.95,12.33,0,0,43,,,,,
21652909277,2026-01-24,Magic Island Biathlon (Run-Swim),multi_sport,5.72,45.79,8,0,184,599,0,8.7,0,0,0,0,0,,,,,,
21613974412,2026-01-20,Ka'ena Ruck ,hiking,10.21,224.41,21.97,101,134,910,51.734375,117.6,91.88,4.7,0,0,0,,,,,,
21603388008,2026-01-19,Honolulu Surfing,surfing_v2,1.55,48.11,31.04,111,164,270,0,0,17.17,7.52,4.43,0.02,0,,,,,,
21599892014,2026-01-19,Morning Run with Michael,running,4.55,35.23,7.74,153,165,379,142.90625,49.5,1.26,3.35,29.85,0.58,0,42,,,,,
21561680912,2026-01-15,Maui County Open Water Swimming,open_water_swimming,0.66,26.36,39.67,91,134,108,0,0,4.7,2.15,0,0,0,,,,,,
21551109690,2026-01-14,Maui County Walking,walking,1.22,36.03,29.51,90,122,129,35.578125,30.8,5.13,0,0,0,0,42,,,,,
21549658299,2026-01-14,Molokini Crater Open Water Swimming,open_water_swimming,1.44,95.11,66.24,97,136,401,0,0,21.63,6.22,0,0,0,,,,,,
21540021296,2026-01-13,Iao Valley Walking,walking,1.38,55.19,39.93,89,119,182,25.1875,50.1,7.8,0,0,0,0,,,,,,
21537704513,2026-01-13,Olowalu Open Water Swimming,open_water_swimming,1.28,54.62,42.76,109,154,314,0,0,25.19,6.68,1.72,0,0,,,,,,
21525046427,2026-01-12,Honolulu - Base,running,3.54,29.26,8.26,138,153,281,140.640625,59.9,2.11,24.88,2.05,0,0,,,,,,
21516398959,2026-01-11,Honolulu - Base,running,7.15,62.17,8.69,141,181,559,135.21875,77.9,3.97,45.07,10.5,2.56,0,42,,,,,
21496077788,2026-01-09,Pool Swim,lap_swimming,1.5,46.15,30.77,127,165,369,0,0,12.65,19.98,7.1,0.07,0,,,,,,
21488467760,2026-01-08,Honolulu Running,running,3.31,27.6,8.35,137,155,262,134,42.1,5.01,11.8,10.48,0,0,42,,,,,
21434251879,2026-01-03,Honolulu Walking,walking,1.7,20.25,11.91,108,134,117,100.15625,17.6,8.33,2.07,0,0,0,42,,,,,
21434251807,2026-01-03,Pool Swim,lap_swimming,1.42,54.05,38.14,120,174,369,0,0,20.68,22.05,1.2,0.67,0,,,,,,
21434251737,2026-01-03,Honolulu - Base,running,4.8,41.12,8.57,143,162,392,142.25,80.4,0.27,25.02,15.3,0,0,42,,,,,
21426094176,2026-01-02,Rucking the dog,walking,1.7,22.75,13.39,103,132,130,78.171875,14.3,8.37,0.3,0,0,0,42,,,,,
21424321581,2026-01-02,Honolulu Surfing,surfing_v2,2.52,53.87,21.34,138,184,437,0,0,10.97,26.83,12.1,3.42,0,,,,,,
21416299565,2026-01-01,Honolulu - Tempo,running,7.6,56.49,7.43,151,177,614,138.28125,94.8,8.06,13.81,11.23,22.88,0,42,,,,,
21414652963,2026-01-01,Rucking the dog,walking,1.75,20.6,11.75,114,130,138,88.015625,23.6,16.41,1.63,0,0,0,42,,,,,
21389032797,2025-12-29,Honolulu - Recovery,running,2.21,20.17,9.14,128.2280992,145,160,121.6801653,22.8,3.28,14.53,0,0,0,,,,,,
21386117584,2025-12-29,Bus Stop Ruck ,walking,1.8,20.12,11.19,110,126,126,104.46875,5.4,12.85,1.22,0,0,0,42,,,,,
21378385279,2025-12-28,Honolulu - Recovery,running,2.34,20.58,8.78,134,154,183,129.984375,16.1,4.33,13.55,2.37,0,0,,,,,,
21367728357,2025-12-27,Honolulu - Long Run,running,8.8,78.15,8.88,136,156,679,139.109375,87.1,5.32,55.08,16.37,0,0,42,,,,,
21360386570,2025-12-26,First Bike Back-at-it,cycling,4.98,20.83,4.18,119,149,140,0,46.6,8.35,7.9,0.32,0,0,,,,,,
21359671668,2025-12-26,Honolulu Walking,walking,1.54,21.66,14.08,101,110,108,77.203125,5.3,4.53,0,0,0,0,42,,,,,
21351304138,2025-12-25,Electric Beach Snorkeling,open_water_swimming,0.65,42.79,65.45,106,158,224,0,0,16.38,3.23,0.75,0,0,,,,,,
21350274135,2025-12-25,Christmas Tempo,running,6.89,51.46,7.46,161,182,562,137.640625,63.1,1.08,9.87,17.71,22.57,0,42,,,,,
21336777997,2025-12-23,Honolulu - Base,running,3.95,35.24,8.92,133,146,298,135.328125,29.6,4.3,30.5,0,0,0,,,,,,
21335541722,2025-12-23,Pool Swim,lap_swimming,0.8,25.97,32.47,126,164,211,0,0,8.02,12.26,2.08,0,0,,,,,,
21327915141,2025-12-22,Ruck back from pool,walking,1.72,22.18,12.89,112,121,118,92.328125,1.1,21.63,0,0,0,0,41,,,,,
21327829608,2025-12-22,Week-of-slow Pool Swim ,lap_swimming,1.01,33.45,33.26,125,143,258,0,0,12.02,19.82,0,0,0,,,,,,
21327695436,2025-12-22,Honolulu Walking,walking,1.7,20.24,11.87,114,126,132,96.09375,38.9,19.45,0.12,0,0,0,41,,,,,
21986918741,2026-02-25,W01D3-Easy Bike,indoor_cycling,0,40.94,0,113,126,218,0,0,36.61,0.43,0,0,0,,,,,,
21994869910,2026-02-26,Honolulu Running,running,3.01,21.04,6.99,161,184,242,130.28125,5.7,1.21,3.95,4.24,11.56,0,44,,,,,
22028723901,2026-03-01,King's Runner 10k ,running,10.13,64.99,6.41,171,192,863,155.28125,24.4,0,0.37,0.92,62.71,0.98,44,,,,,
22108968518,2026-03-08,Honolulu Running,running,4.92,44.93,9.13,146,163,384,137.734375,60.1,0.7,12.37,31.67,0.2,0,43,,,,,
22176695128,2026-03-14,Honolulu - W03D6-Build Run,running,4.81,45.53,9.47,127,159,370,131.84375,52.1,16.7,23.48,4.88,0,0,43,,,,,
22176485289,2026-03-14,Honolulu Walking,walking,1.54,24.07,15.66,91,121,112,62.765625,9.1,2.23,0,0,0,0,44,,,,,
22187833030,2026-03-15,Honolulu Running,running,7.56,64.07,8.48,153,165,625,141.203125,77.1,7.46,53.24,2.6,0,0,44,,,,,
